Conversation_ID,Strategy,Type,Game_ID,User_ID,Mutant_ID,Test_ID,Is_Active,Is_Success
1,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,100,5,,,1,0
2,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,100,6,,,1,0
3,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,101,5,,,1,0
4,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,101,6,,,1,0
5,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,102,5,,,1,0
6,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,102,6,,,1,0
7,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,103,5,,,1,0
8,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,103,6,,,1,0
9,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,105,5,,,1,0
10,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,105,6,,,1,0
11,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,106,6,,,1,0
12,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,107,5,,,1,0
13,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,107,6,,,1,0
14,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,108,5,,,1,0
15,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,108,6,,,1,0
16,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,109,5,,,1,0
17,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,109,6,,,1,0
18,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,110,6,,,1,0
19,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,110,6,,,0,1
20,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
21,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,,0,1
22,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,100,,0,1
23,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,110,6,,,0,1
24,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,110,6,,100,1,0
25,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,,0,1
26,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,101,0,1
27,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
28,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,101,,0,1
29,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,102,0,1
30,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,103,0,1
31,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
32,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,102,,0,1
33,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,104,0,1
34,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
35,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,103,,0,1
36,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,105,0,1
37,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,106,0,1
38,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
39,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,104,,0,1
40,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,107,0,1
41,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
42,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,105,,0,1
43,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,108,0,1
44,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,112,0,1
45,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
46,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,106,,0,1
47,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
48,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,107,,0,1
49,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
50,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,108,,0,1
51,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,,0,1
52,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,113,0,1
53,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
54,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,109,,0,1
55,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,114,0,1
56,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
57,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,110,,0,1
58,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,115,0,1
59,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,116,0,1
60,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
61,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,111,,0,1
62,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,117,0,1
63,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
64,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,112,,0,1
65,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,118,0,1
66,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,119,0,1
67,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
68,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,113,,0,1
69,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,120,0,1
70,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
71,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,114,,0,1
72,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,121,0,1
73,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_EQUIVALENCE,111,5,,,0,1
74,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
75,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,115,,0,1
76,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,123,0,1
77,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_EQUIVALENCE,111,5,,,0,0
78,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,126,0,1
79,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
80,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,116,,0,1
81,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,127,0,1
82,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
83,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,117,,0,1
84,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,128,0,1
85,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
86,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,118,,0,1
87,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,129,0,1
88,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
89,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,119,,0,1
90,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,130,0,1
91,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,111,6,,131,0,1
92,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
93,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,120,,0,1
94,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,133,0,1
95,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
96,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,121,,0,1
97,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
98,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,122,,0,1
99,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_FOCUS,111,6,,134,0,1
100,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
101,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,123,,0,1
102,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,135,0,1
103,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,136,0,1
104,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
105,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,137,0,1
106,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,124,,0,1
107,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
108,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_FOCUS,111,6,,138,0,1
109,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,125,,0,1
110,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
111,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,126,,0,1
112,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
113,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,139,0,1
114,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,127,,0,1
115,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
116,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,140,0,1
117,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,128,,0,1
118,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
119,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,,0,0
120,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,129,,0,1
121,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
122,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,130,,0,1
123,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
124,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,131,,0,1
125,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
126,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,132,,0,1
127,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,141,0,1
128,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
129,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,,,0,0
130,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,142,0,1
131,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,143,0,1
132,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,,,0,0
133,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,144,0,1
134,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,,0,0
135,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,133,,0,1
136,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
137,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,134,,0,1
138,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,,0,0
139,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
140,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,,,0,0
141,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,135,,0,1
142,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,145,0,1
143,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,146,0,1
144,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
145,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,136,,0,1
146,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,111,5,,,0,1
147,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,111,5,,,1,0
148,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,111,6,,,1,0
149,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,112,5,,,0,1
150,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,112,6,,,0,1
151,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,112,5,137,,0,1
152,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,,0,1
153,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,147,0,1
154,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,112,5,,,0,1
155,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,112,5,138,,0,1
156,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,148,0,1
157,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,112,5,,,0,1
158,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,112,5,139,,0,1
159,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,149,0,1
160,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,112,5,,,0,1
161,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,112,5,140,,0,1
162,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,150,0,1
163,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,112,5,,,0,1
164,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,112,5,141,,0,1
165,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,151,0,1
166,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEFAULT,112,5,,,0,1
167,MUTANT_ANNOTATED_SINGLE_METHOD,ATTACK_DEPENDENCIES,112,5,142,,0,1
168,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,112,6,,152,0,1
